year,frac_lndu_initial_croplands,frac_lndu_initial_flooded,frac_lndu_initial_forests_mangroves,frac_lndu_initial_forests_primary,frac_lndu_initial_forests_secondary,frac_lndu_initial_grasslands,frac_lndu_initial_other,frac_lndu_initial_pastures,frac_lndu_initial_settlements,frac_lndu_initial_shrublands,frac_lndu_initial_wetlands
2051,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2052,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2053,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2054,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2055,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2056,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2057,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2058,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2059,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2060,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2061,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2062,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2063,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2064,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2065,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2066,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2067,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2068,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2069,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2070,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2071,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
