year,frac_lvst_livestock_demand_imported_buffalo,frac_lvst_livestock_demand_imported_cattle_dairy,frac_lvst_livestock_demand_imported_cattle_nondairy,frac_lvst_livestock_demand_imported_chickens,frac_lvst_livestock_demand_imported_goats,frac_lvst_livestock_demand_imported_horses,frac_lvst_livestock_demand_imported_mules,frac_lvst_livestock_demand_imported_pigs,frac_lvst_livestock_demand_imported_sheep
2088,0.0,5.905550737420057e-06,1.6354317633480083e-06,0.0005770046268589876,6.303701464032527e-06,0.0,0.0,2.0728368059090318e-05,3.2386512957564665e-06
2089,0.0,5.984305476426388e-06,1.6570896925534863e-06,0.0005851397325546096,6.387475968356413e-06,0.0,0.0,2.1003389446433813e-05,3.281653096554396e-06
2090,0.0,6.063085444432907e-06,1.6787477517168207e-06,0.0005932928486611406,6.471261199616546e-06,0.0,0.0,2.127843041464203e-05,3.32465905267944e-06
2091,0.0,6.141890940739645e-06,1.700405942341729e-06,0.0006014642310204387,6.555057282748703e-06,0.0,0.0,2.1553491191894672e-05,3.3676692123544076e-06
2092,0.0,6.220722268027499e-06,1.7220642659478778e-06,0.000609654139373943,6.638864344048312e-06,0.0,0.0,2.1828572008826568e-05,3.4106836243236163e-06
2093,0.0,6.299579732396617e-06,1.7437227240710807e-06,0.0006178628374319228,6.722682511185031e-06,0.0,0.0,2.2103673098553743e-05,3.453702337858447e-06
2094,0.0,6.378463643405404e-06,1.7653813182634394e-06,0.0006260905929441729,6.8065119132172795e-06,0.0,0.0,2.237879469669886e-05,3.496725402762829e-06
2095,0.0,6.457374314109933e-06,1.7870400500935141e-06,0.0006343376777722221,6.8903526806070105e-06,0.0,0.0,2.265393704141739e-05,3.5397528693788457e-06
2096,0.0,6.536312061103816e-06,1.8086989211464956e-06,0.0006426043679630853,6.974204945234672e-06,0.0,0.0,2.292910037342404e-05,3.5827847885923993e-06
2097,0.0,6.615277204558663e-06,1.830357933024349e-06,0.0006508909438245846,7.0580688404141964e-06,0.0,0.0,2.3204284936019037e-05,3.625821211838877e-06
2098,0.0,6.694270068264838e-06,1.8520170873460217e-06,0.0006591976900023127,7.141944500908383e-06,0.0,0.0,2.3479490975115507e-05,3.668862191108995e-06
2099,0.0,6.773290979672908e-06,1.8736763857475885e-06,0.0006675248955582354,7.2258320629442266e-06,0.0,0.0,2.3754718739266298e-05,3.7119077789545837e-06
2100,0.0,6.852340269935489e-06,1.8953358298824338e-06,0.0006758728540510092,7.3097316642285136e-06,0.0,0.0,2.4029968479691544e-05,3.754958028494496e-06
