abbreviation_subsector,subsector,variable_field,variable,area,energy,length,mass,monetary,power,volume,emission_gas
entc,Energy Technology,nemomod_entc_frac_min_share_production_pp_gas,NemoMod MinShareProduction,,,,,,,,
entc,Energy Technology,nemomod_entc_frac_min_share_production_pp_gas_ccs,NemoMod MinShareProduction,,,,,,,,
entc,Energy Technology,nemomod_entc_frac_min_share_production_pp_geothermal,NemoMod MinShareProduction,,,,,,,,
entc,Energy Technology,nemomod_entc_frac_min_share_production_pp_hydropower,NemoMod MinShareProduction,,,,,,,,
entc,Energy Technology,nemomod_entc_frac_min_share_production_pp_nuclear,NemoMod MinShareProduction,,,,,,,,
entc,Energy Technology,nemomod_entc_frac_min_share_production_pp_ocean,NemoMod MinShareProduction,,,,,,,,
entc,Energy Technology,nemomod_entc_frac_min_share_production_pp_oil,NemoMod MinShareProduction,,,,,,,,
entc,Energy Technology,nemomod_entc_frac_min_share_production_pp_solar,NemoMod MinShareProduction,,,,,,,,
entc,Energy Technology,nemomod_entc_frac_min_share_production_pp_waste_incineration,NemoMod MinShareProduction,,,,,,,,
entc,Energy Technology,nemomod_entc_frac_min_share_production_pp_wind,NemoMod MinShareProduction,,,,,,,,
entc,Energy Technology,nemomod_entc_grid_power_constraint_mmm_usd,Grid Power System Investment Constraint,,,,,mmm_usd,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_ammonia_production_electricity,Fuel Production NemoMod InputActivityRatio Electricity,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_ammonia_production_hydrogen,Fuel Production NemoMod InputActivityRatio Hydrogen,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_hydrogen_electrolysis_electricity,Fuel Production NemoMod InputActivityRatio Electricity,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_hydrogen_electrolysis_water,Fuel Production NemoMod InputActivityRatio Water,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_hydrogen_gasification_biomass,Fuel Production NemoMod InputActivityRatio Biomass,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_hydrogen_gasification_coal,Fuel Production NemoMod InputActivityRatio Coal,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_hydrogen_gasification_electricity,Fuel Production NemoMod InputActivityRatio Electricity,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_hydrogen_reformation_ccs_electricity,Fuel Production NemoMod InputActivityRatio Electricity,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_hydrogen_reformation_ccs_natural_gas,Fuel Production NemoMod InputActivityRatio Natural Gas,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_hydrogen_reformation_ccs_oil,Fuel Production NemoMod InputActivityRatio Oil,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_hydrogen_reformation_electricity,Fuel Production NemoMod InputActivityRatio Electricity,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_hydrogen_reformation_natural_gas,Fuel Production NemoMod InputActivityRatio Natural Gas,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_hydrogen_reformation_oil,Fuel Production NemoMod InputActivityRatio Oil,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_natural_gas_electricity,Fuel Production NemoMod InputActivityRatio Electricity,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_natural_gas_liquefaction_electricity,Fuel Production NemoMod InputActivityRatio Electricity,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_natural_gas_liquefaction_natural_gas,Fuel Production NemoMod InputActivityRatio Natural Gas,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_natural_gas_natural_gas_unprocessed,Fuel Production NemoMod InputActivityRatio Natural Gas Unprocessed,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_petroleum_refinement_crude,Fuel Production NemoMod InputActivityRatio Crude,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_fp_petroleum_refinement_electricity,Fuel Production NemoMod InputActivityRatio Electricity,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_coal_coal_deposits,Fuel Production NemoMod InputActivityRatio Coal Deposits,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_coal_diesel,Fuel Production NemoMod InputActivityRatio Diesel,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_coal_electricity,Fuel Production NemoMod InputActivityRatio Electricity,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_coal_gasoline,Fuel Production NemoMod InputActivityRatio Gasoline,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_coal_natural_gas,Fuel Production NemoMod InputActivityRatio Natural Gas,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_coal_oil,Fuel Production NemoMod InputActivityRatio Oil,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_crude_diesel,Fuel Production NemoMod InputActivityRatio Diesel,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_crude_electricity,Fuel Production NemoMod InputActivityRatio Electricity,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_crude_gasoline,Fuel Production NemoMod InputActivityRatio Gasoline,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_crude_natural_gas,Fuel Production NemoMod InputActivityRatio Natural Gas,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_crude_oil,Fuel Production NemoMod InputActivityRatio Oil,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_natural_gas_diesel,Fuel Production NemoMod InputActivityRatio Diesel,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_natural_gas_electricity,Fuel Production NemoMod InputActivityRatio Electricity,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_natural_gas_gasoline,Fuel Production NemoMod InputActivityRatio Gasoline,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_natural_gas_natural_gas,Fuel Production NemoMod InputActivityRatio Natural Gas,,,,,,,,
entc,Energy Technology,nemomod_entc_input_activity_ratio_fuel_production_me_natural_gas_oil,Fuel Production NemoMod InputActivityRatio Oil,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_fp_ammonia_production_ammonia,Fuel Production NemoMod OutputActivityRatio Ammonia,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_fp_hydrogen_electrolysis_hydrogen,Fuel Production NemoMod OutputActivityRatio Hydrogen,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_fp_hydrogen_gasification_hydrogen,Fuel Production NemoMod OutputActivityRatio Hydrogen,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_fp_hydrogen_reformation_ccs_hydrogen,Fuel Production NemoMod OutputActivityRatio Hydrogen,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_fp_hydrogen_reformation_hydrogen,Fuel Production NemoMod OutputActivityRatio Hydrogen,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_fp_natural_gas_hydrocarbon_gas_liquids,Fuel Production NemoMod OutputActivityRatio Hydrocarbon Gas Liquids,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_fp_natural_gas_liquefaction_natural_gas_unprocessed,Fuel Production NemoMod OutputActivityRatio Liquid Natural Gas,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_fp_natural_gas_natural_gas,Fuel Production NemoMod OutputActivityRatio Natural Gas,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_fp_petroleum_refinement_diesel,Fuel Production NemoMod OutputActivityRatio Diesel,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_fp_petroleum_refinement_gasoline,Fuel Production NemoMod OutputActivityRatio Gasoline,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_fp_petroleum_refinement_hydrocarbon_gas_liquids,Fuel Production NemoMod OutputActivityRatio Hydrocarbon Gas Liquids,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_fp_petroleum_refinement_kerosene,Fuel Production NemoMod OutputActivityRatio Kerosene,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_fp_petroleum_refinement_oil,Fuel Production NemoMod OutputActivityRatio Oil,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_me_coal_coal,Fuel Production NemoMod OutputActivityRatio Coal,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_me_crude_crude,Fuel Production NemoMod OutputActivityRatio Crude,,,,,,,,
entc,Energy Technology,nemomod_entc_output_activity_ratio_fuel_production_me_natural_gas_natural_gas_unprocessed,Fuel Production NemoMod OutputActivityRatio Natural Gas Unprocessed,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_pp_biogas,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_pp_biomass,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_pp_coal,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_pp_coal_ccs,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_pp_gas,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_pp_gas_ccs,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_pp_geothermal,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_pp_hydropower,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_pp_nuclear,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_pp_ocean,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_pp_oil,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_pp_solar,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_pp_waste_incineration,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_pp_wind,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_st_batteries,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_st_compressed_air,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_st_flywheels,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_renewable_energy_tag_st_pumped_hydro,NemoMod RETagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_biogas,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_biomass,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_coal,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_coal_ccs,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_gas,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_gas_ccs,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_geothermal,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_hydropower,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_nuclear,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_ocean,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_oil,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_solar,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_waste_incineration,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_pp_wind,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_st_batteries,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_st_compressed_air,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_st_flywheels,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_reserve_margin_tag_technology_st_pumped_hydro,NemoMod ReserveMarginTagTechnology,,,,,,,,
entc,Energy Technology,nemomod_entc_residual_capacity_pp_biogas_gw,NemoMod ResidualCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_residual_capacity_pp_biomass_gw,NemoMod ResidualCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_residual_capacity_pp_coal_ccs_gw,NemoMod ResidualCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_residual_capacity_pp_coal_gw,NemoMod ResidualCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_residual_capacity_pp_gas_ccs_gw,NemoMod ResidualCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_residual_capacity_pp_gas_gw,NemoMod ResidualCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_residual_capacity_pp_geothermal_gw,NemoMod ResidualCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_residual_capacity_pp_hydropower_gw,NemoMod ResidualCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_residual_capacity_pp_nuclear_gw,NemoMod ResidualCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_residual_capacity_pp_ocean_gw,NemoMod ResidualCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_residual_capacity_pp_oil_gw,NemoMod ResidualCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_residual_capacity_pp_solar_gw,NemoMod ResidualCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_residual_capacity_pp_waste_incineration_gw,NemoMod ResidualCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_residual_capacity_pp_wind_gw,NemoMod ResidualCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_scalar_availability_factor_pp_biogas,NemoMod AvailabilityFactor Scalar,,,,,,,,
entc,Energy Technology,nemomod_entc_scalar_availability_factor_pp_biomass,NemoMod AvailabilityFactor Scalar,,,,,,,,
entc,Energy Technology,nemomod_entc_scalar_availability_factor_pp_coal,NemoMod AvailabilityFactor Scalar,,,,,,,,
entc,Energy Technology,nemomod_entc_scalar_availability_factor_pp_coal_ccs,NemoMod AvailabilityFactor Scalar,,,,,,,,
entc,Energy Technology,nemomod_entc_scalar_availability_factor_pp_gas,NemoMod AvailabilityFactor Scalar,,,,,,,,
entc,Energy Technology,nemomod_entc_scalar_availability_factor_pp_gas_ccs,NemoMod AvailabilityFactor Scalar,,,,,,,,
entc,Energy Technology,nemomod_entc_scalar_availability_factor_pp_geothermal,NemoMod AvailabilityFactor Scalar,,,,,,,,
entc,Energy Technology,nemomod_entc_scalar_availability_factor_pp_hydropower,NemoMod AvailabilityFactor Scalar,,,,,,,,
entc,Energy Technology,nemomod_entc_scalar_availability_factor_pp_nuclear,NemoMod AvailabilityFactor Scalar,,,,,,,,
entc,Energy Technology,nemomod_entc_scalar_availability_factor_pp_ocean,NemoMod AvailabilityFactor Scalar,,,,,,,,
entc,Energy Technology,nemomod_entc_scalar_availability_factor_pp_oil,NemoMod AvailabilityFactor Scalar,,,,,,,,
entc,Energy Technology,nemomod_entc_scalar_availability_factor_pp_solar,NemoMod AvailabilityFactor Scalar,,,,,,,,
entc,Energy Technology,nemomod_entc_scalar_availability_factor_pp_waste_incineration,NemoMod AvailabilityFactor Scalar,,,,,,,,
entc,Energy Technology,nemomod_entc_scalar_availability_factor_pp_wind,NemoMod AvailabilityFactor Scalar,,,,,,,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_biogas_gw,NemoMod TotalAnnualMaxCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_biomass_gw,NemoMod TotalAnnualMaxCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_coal_ccs_gw,NemoMod TotalAnnualMaxCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_coal_gw,NemoMod TotalAnnualMaxCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_gas_ccs_gw,NemoMod TotalAnnualMaxCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_gas_gw,NemoMod TotalAnnualMaxCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_geothermal_gw,NemoMod TotalAnnualMaxCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_hydropower_gw,NemoMod TotalAnnualMaxCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_nuclear_gw,NemoMod TotalAnnualMaxCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_ocean_gw,NemoMod TotalAnnualMaxCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_oil_gw,NemoMod TotalAnnualMaxCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_solar_gw,NemoMod TotalAnnualMaxCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_waste_incineration_gw,NemoMod TotalAnnualMaxCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_investment_pp_wind_gw,NemoMod TotalAnnualMaxCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_pp_biogas_gw,NemoMod TotalAnnualMaxCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_pp_biomass_gw,NemoMod TotalAnnualMaxCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_pp_coal_ccs_gw,NemoMod TotalAnnualMaxCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_pp_coal_gw,NemoMod TotalAnnualMaxCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_pp_gas_ccs_gw,NemoMod TotalAnnualMaxCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_pp_gas_gw,NemoMod TotalAnnualMaxCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_pp_geothermal_gw,NemoMod TotalAnnualMaxCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_pp_hydropower_gw,NemoMod TotalAnnualMaxCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_pp_nuclear_gw,NemoMod TotalAnnualMaxCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_pp_ocean_gw,NemoMod TotalAnnualMaxCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_pp_oil_gw,NemoMod TotalAnnualMaxCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_pp_solar_gw,NemoMod TotalAnnualMaxCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_pp_waste_incineration_gw,NemoMod TotalAnnualMaxCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_max_capacity_pp_wind_gw,NemoMod TotalAnnualMaxCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_investment_pp_biogas_gw,NemoMod TotalAnnualMinCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_investment_pp_biomass_gw,NemoMod TotalAnnualMinCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_investment_pp_coal_ccs_gw,NemoMod TotalAnnualMinCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_investment_pp_coal_gw,NemoMod TotalAnnualMinCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_investment_pp_gas_ccs_gw,NemoMod TotalAnnualMinCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_investment_pp_gas_gw,NemoMod TotalAnnualMinCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_investment_pp_geothermal_gw,NemoMod TotalAnnualMinCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_investment_pp_hydropower_gw,NemoMod TotalAnnualMinCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_investment_pp_nuclear_gw,NemoMod TotalAnnualMinCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_investment_pp_ocean_gw,NemoMod TotalAnnualMinCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_investment_pp_oil_gw,NemoMod TotalAnnualMinCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_investment_pp_solar_gw,NemoMod TotalAnnualMinCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_investment_pp_waste_incineration_gw,NemoMod TotalAnnualMinCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_investment_pp_wind_gw,NemoMod TotalAnnualMinCapacityInvestment,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_pp_biogas_gw,NemoMod TotalAnnualMinCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_pp_biomass_gw,NemoMod TotalAnnualMinCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_pp_coal_ccs_gw,NemoMod TotalAnnualMinCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_pp_coal_gw,NemoMod TotalAnnualMinCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_pp_gas_ccs_gw,NemoMod TotalAnnualMinCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_pp_gas_gw,NemoMod TotalAnnualMinCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_pp_geothermal_gw,NemoMod TotalAnnualMinCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_pp_hydropower_gw,NemoMod TotalAnnualMinCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_pp_nuclear_gw,NemoMod TotalAnnualMinCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_pp_ocean_gw,NemoMod TotalAnnualMinCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_pp_oil_gw,NemoMod TotalAnnualMinCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_pp_solar_gw,NemoMod TotalAnnualMinCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_pp_waste_incineration_gw,NemoMod TotalAnnualMinCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_total_annual_min_capacity_pp_wind_gw,NemoMod TotalAnnualMinCapacity,,,,,,gw,,
entc,Energy Technology,nemomod_entc_variable_cost_pp_biogas_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_pp_biomass_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_pp_coal_ccs_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_pp_coal_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_pp_gas_ccs_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_pp_gas_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_pp_geothermal_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_pp_hydropower_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_pp_nuclear_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_pp_ocean_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_pp_oil_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_pp_solar_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_pp_waste_incineration_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_pp_wind_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_st_batteries_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_st_compressed_air_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_st_flywheels_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
entc,Energy Technology,nemomod_entc_variable_cost_st_pumped_hydro_usd_per_mwh,NemoMod VariableCost,,mwh,,,usd,,,
