"Subsector","Gas","Edgar_Sector","Edgar_Subsector","Edgar_Subsector_Synthetic","Vars","ignore","note","need_better_information_on_what_is_contained","Edgar_Class","ids","UGA"
"frst","ch4","Land Use, Land Use Change, and Forestry","LULUCF - Forest Land","LULUCF - Forest Land","emission_co2e_ch4_frst_methane_mangroves:emission_co2e_ch4_frst_methane_primary:emission_co2e_ch4_frst_methane_secondary",NA,"",NA,"LULUCF - Forest Land:ch4","62:frst:ch4",0
"frst","co2","Land Use, Land Use Change, and Forestry","LULUCF - Forest Land","LULUCF - Forest Land Removals","emission_co2e_co2_entc_bmass_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_co2_entc_generation_pp_biomass:emission_co2e_co2_frst_forest_fires:emission_co2e_co2_inen_bmass_agriculture_and_livestock:emission_co2e_co2_inen_bmass_cement:emission_co2e_co2_inen_bmass_chemicals:emission_co2e_co2_inen_bmass_electronics:emission_co2e_co2_inen_bmass_glass:emission_co2e_co2_inen_bmass_lime_and_carbonite:emission_co2e_co2_inen_bmass_metals:emission_co2e_co2_inen_bmass_mining:emission_co2e_co2_inen_bmass_other_product_manufacturing:emission_co2e_co2_inen_bmass_paper:emission_co2e_co2_inen_bmass_plastic:emission_co2e_co2_inen_bmass_recycled_glass:emission_co2e_co2_inen_bmass_recycled_metals:emission_co2e_co2_inen_bmass_recycled_paper:emission_co2e_co2_inen_bmass_recycled_plastic:emission_co2e_co2_inen_bmass_recycled_rubber_and_leather:emission_co2e_co2_inen_bmass_recycled_textiles:emission_co2e_co2_inen_bmass_recycled_wood:emission_co2e_co2_inen_bmass_rubber_and_leather:emission_co2e_co2_inen_bmass_textiles:emission_co2e_co2_inen_bmass_wood:emission_co2e_co2_scoe_bmass_commercial_municipal:emission_co2e_co2_scoe_bmass_other_se:emission_co2e_co2_scoe_bmass_residential",NA,"",NA,"LULUCF - Forest Land Removals:co2","63:frst:co2",50.54947257
"frst","co2","Land Use, Land Use Change, and Forestry","LULUCF - Forest Land","LULUCF - Forest Land Sequestration","emission_co2e_co2_frst_sequestration_mangroves:emission_co2e_co2_frst_sequestration_primary:emission_co2e_co2_frst_sequestration_secondary",NA,"",NA,"LULUCF - Forest Land Sequestration:co2","64:frst:co2",-7.4842975
"frst","co2","Land Use, Land Use Change, and Forestry","LULUCF - HWP","LULUCF - HWP","emission_co2e_co2_frst_harvested_wood_products",NA,"",NA,"LULUCF - HWP:co2","65:frst:co2",-0.001142149
"soil","co2","Land Use, Land Use Change, and Forestry","LULUCF - Organic Soil","LULUCF - Organic Soil","emission_co2e_co2_soil_lime_use:emission_co2e_co2_soil_soc_mineral_soils:emission_co2e_co2_soil_urea_use:emission_co2e_co2_lndu_drained_organic_soils_pastures",NA,"",NA,"LULUCF - Organic Soil:co2","66:soil:co2",0
"soil","n2o","Land Use, Land Use Change, and Forestry","LULUCF - Organic Soil","LULUCF - Organic Soil","emission_co2e_n2o_soil_fertilizer:emission_co2e_n2o_soil_mineral_soils:emission_co2e_n2o_soil_organic_soils:emission_co2e_n2o_soil_paddock_pasture_range",NA,"",NA,"LULUCF - Organic Soil:n2o","67:soil:n2o",0
"lndu","co2","Land Use, Land Use Change, and Forestry","LULUCF - Other Land","LULUCF - Other Land","emission_co2e_co2_lndu_conversion_croplands_to_croplands:emission_co2e_co2_lndu_conversion_croplands_to_flooded:emission_co2e_co2_lndu_conversion_croplands_to_forests_mangroves:emission_co2e_co2_lndu_conversion_croplands_to_forests_primary:emission_co2e_co2_lndu_conversion_croplands_to_forests_secondary:emission_co2e_co2_lndu_conversion_croplands_to_grasslands:emission_co2e_co2_lndu_conversion_croplands_to_other:emission_co2e_co2_lndu_conversion_croplands_to_pastures:emission_co2e_co2_lndu_conversion_croplands_to_settlements:emission_co2e_co2_lndu_conversion_croplands_to_shrublands:emission_co2e_co2_lndu_conversion_croplands_to_wetlands:emission_co2e_co2_lndu_conversion_flooded_to_croplands:emission_co2e_co2_lndu_conversion_flooded_to_flooded:emission_co2e_co2_lndu_conversion_flooded_to_forests_mangroves:emission_co2e_co2_lndu_conversion_flooded_to_forests_primary:emission_co2e_co2_lndu_conversion_flooded_to_forests_secondary:emission_co2e_co2_lndu_conversion_flooded_to_grasslands:emission_co2e_co2_lndu_conversion_flooded_to_other:emission_co2e_co2_lndu_conversion_flooded_to_pastures:emission_co2e_co2_lndu_conversion_flooded_to_settlements:emission_co2e_co2_lndu_conversion_flooded_to_shrublands:emission_co2e_co2_lndu_conversion_flooded_to_wetlands:emission_co2e_co2_lndu_conversion_grasslands_to_croplands:emission_co2e_co2_lndu_conversion_grasslands_to_flooded:emission_co2e_co2_lndu_conversion_grasslands_to_forests_mangroves:emission_co2e_co2_lndu_conversion_grasslands_to_forests_primary:emission_co2e_co2_lndu_conversion_grasslands_to_forests_secondary:emission_co2e_co2_lndu_conversion_grasslands_to_grasslands:emission_co2e_co2_lndu_conversion_grasslands_to_other:emission_co2e_co2_lndu_conversion_grasslands_to_pastures:emission_co2e_co2_lndu_conversion_grasslands_to_settlements:emission_co2e_co2_lndu_conversion_grasslands_to_shrublands:emission_co2e_co2_lndu_conversion_grasslands_to_wetlands:emission_co2e_co2_lndu_conversion_other_to_croplands:emission_co2e_co2_lndu_conversion_other_to_flooded:emission_co2e_co2_lndu_conversion_other_to_forests_mangroves:emission_co2e_co2_lndu_conversion_other_to_forests_primary:emission_co2e_co2_lndu_conversion_other_to_forests_secondary:emission_co2e_co2_lndu_conversion_other_to_grasslands:emission_co2e_co2_lndu_conversion_other_to_other:emission_co2e_co2_lndu_conversion_other_to_pastures:emission_co2e_co2_lndu_conversion_other_to_settlements:emission_co2e_co2_lndu_conversion_other_to_shrublands:emission_co2e_co2_lndu_conversion_other_to_wetlands:emission_co2e_co2_lndu_conversion_pastures_to_croplands:emission_co2e_co2_lndu_conversion_pastures_to_flooded:emission_co2e_co2_lndu_conversion_pastures_to_forests_mangroves:emission_co2e_co2_lndu_conversion_pastures_to_forests_primary:emission_co2e_co2_lndu_conversion_pastures_to_forests_secondary:emission_co2e_co2_lndu_conversion_pastures_to_grasslands:emission_co2e_co2_lndu_conversion_pastures_to_other:emission_co2e_co2_lndu_conversion_pastures_to_pastures:emission_co2e_co2_lndu_conversion_pastures_to_settlements:emission_co2e_co2_lndu_conversion_pastures_to_shrublands:emission_co2e_co2_lndu_conversion_pastures_to_wetlands:emission_co2e_co2_lndu_conversion_settlements_to_croplands:emission_co2e_co2_lndu_conversion_settlements_to_flooded:emission_co2e_co2_lndu_conversion_settlements_to_forests_mangroves:emission_co2e_co2_lndu_conversion_settlements_to_forests_primary:emission_co2e_co2_lndu_conversion_settlements_to_forests_secondary:emission_co2e_co2_lndu_conversion_settlements_to_grasslands:emission_co2e_co2_lndu_conversion_settlements_to_other:emission_co2e_co2_lndu_conversion_settlements_to_pastures:emission_co2e_co2_lndu_conversion_settlements_to_settlements:emission_co2e_co2_lndu_conversion_settlements_to_shrublands:emission_co2e_co2_lndu_conversion_settlements_to_wetlands:emission_co2e_co2_lndu_conversion_shrublands_to_croplands:emission_co2e_co2_lndu_conversion_shrublands_to_flooded:emission_co2e_co2_lndu_conversion_shrublands_to_forests_mangroves:emission_co2e_co2_lndu_conversion_shrublands_to_forests_primary:emission_co2e_co2_lndu_conversion_shrublands_to_forests_secondary:emission_co2e_co2_lndu_conversion_shrublands_to_grasslands:emission_co2e_co2_lndu_conversion_shrublands_to_other:emission_co2e_co2_lndu_conversion_shrublands_to_pastures:emission_co2e_co2_lndu_conversion_shrublands_to_settlements:emission_co2e_co2_lndu_conversion_shrublands_to_shrublands:emission_co2e_co2_lndu_conversion_shrublands_to_wetlands:emission_co2e_co2_lndu_conversion_wetlands_to_croplands:emission_co2e_co2_lndu_conversion_wetlands_to_flooded:emission_co2e_co2_lndu_conversion_wetlands_to_forests_mangroves:emission_co2e_co2_lndu_conversion_wetlands_to_forests_primary:emission_co2e_co2_lndu_conversion_wetlands_to_forests_secondary:emission_co2e_co2_lndu_conversion_wetlands_to_grasslands:emission_co2e_co2_lndu_conversion_wetlands_to_other:emission_co2e_co2_lndu_conversion_wetlands_to_pastures:emission_co2e_co2_lndu_conversion_wetlands_to_settlements:emission_co2e_co2_lndu_conversion_wetlands_to_shrublands:emission_co2e_co2_lndu_conversion_wetlands_to_wetlands:emission_co2e_co2_lndu_biomass_sequestration_grasslands:emission_co2e_co2_lndu_biomass_sequestration_other:emission_co2e_co2_lndu_biomass_sequestration_pastures:emission_co2e_co2_lndu_biomass_sequestration_settlements:emission_co2e_co2_lndu_biomass_sequestration_shrublands:emission_co2e_co2_lndu_biomass_sequestration_wetlands",NA,"",1,"LULUCF - Other Land:co2","68:lndu:co2",0.305736642
"ippu","nf3","UNACCOUNTED","UNACCOUNTED","UNACCOUNTED","emission_co2e_nf3_ippu_production_chemicals:emission_co2e_nf3_ippu_production_electronics",NA,"No NF3 emissions appear to be in Edgar",1,"UNACCOUNTED:nf3","69:ippu:nf3",0
"waso","ch4","Waste","Waste - Solid Waste","Waste - Solid Waste","emission_co2e_ch4_waso_biogas_food:emission_co2e_ch4_waso_biogas_sludge:emission_co2e_ch4_waso_biogas_yard:emission_co2e_ch4_waso_compost_food:emission_co2e_ch4_waso_compost_sludge:emission_co2e_ch4_waso_compost_yard:emission_co2e_ch4_waso_incineration:emission_co2e_ch4_waso_landfilled_chemical_industrial:emission_co2e_ch4_waso_landfilled_food:emission_co2e_ch4_waso_landfilled_glass:emission_co2e_ch4_waso_landfilled_metal:emission_co2e_ch4_waso_landfilled_nappies:emission_co2e_ch4_waso_landfilled_other:emission_co2e_ch4_waso_landfilled_paper:emission_co2e_ch4_waso_landfilled_plastic:emission_co2e_ch4_waso_landfilled_rubber_leather:emission_co2e_ch4_waso_landfilled_sludge:emission_co2e_ch4_waso_landfilled_textiles:emission_co2e_ch4_waso_landfilled_wood:emission_co2e_ch4_waso_landfilled_yard:emission_co2e_ch4_waso_open_dump_chemical_industrial:emission_co2e_ch4_waso_open_dump_food:emission_co2e_ch4_waso_open_dump_glass:emission_co2e_ch4_waso_open_dump_metal:emission_co2e_ch4_waso_open_dump_nappies:emission_co2e_ch4_waso_open_dump_other:emission_co2e_ch4_waso_open_dump_paper:emission_co2e_ch4_waso_open_dump_plastic:emission_co2e_ch4_waso_open_dump_rubber_leather:emission_co2e_ch4_waso_open_dump_sludge:emission_co2e_ch4_waso_open_dump_textiles:emission_co2e_ch4_waso_open_dump_wood:emission_co2e_ch4_waso_open_dump_yard",NA,"",NA,"Waste - Solid Waste:ch4","70:waso:ch4",0.501680777
"waso","co2","Waste","Waste - Solid Waste","Waste - Solid Waste","emission_co2e_co2_waso_incineration",NA,"",NA,"Waste - Solid Waste:co2","71:waso:co2",0
"waso","n2o","Waste","Waste - Solid Waste","Waste - Solid Waste","emission_co2e_n2o_waso_compost_food:emission_co2e_n2o_waso_compost_sludge:emission_co2e_n2o_waso_compost_yard:emission_co2e_n2o_waso_incineration",NA,"",NA,"Waste - Solid Waste:n2o","72:waso:n2o",0
"trww","ch4","Waste","Waste - Wastewater Treatment","Waste - Wastewater Treatment","emission_co2e_ch4_trww_treated_advanced_aerobic_treatment:emission_co2e_ch4_trww_treated_advanced_anaerobic_treatment:emission_co2e_ch4_trww_treated_latrine_improved_treatment:emission_co2e_ch4_trww_treated_latrine_unimproved_treatment:emission_co2e_ch4_trww_treated_primary_treatment:emission_co2e_ch4_trww_treated_secondary_aerobic_treatment:emission_co2e_ch4_trww_treated_secondary_anaerobic_treatment:emission_co2e_ch4_trww_treated_septic_treatment:emission_co2e_ch4_trww_untreated_no_sewerage_treatment:emission_co2e_ch4_trww_untreated_with_sewerage_treatment",NA,"",NA,"Waste - Wastewater Treatment:ch4","73:trww:ch4",2.935223741
"trww","n2o","Waste","Waste - Wastewater Treatment","Waste - Wastewater Treatment","emission_co2e_n2o_trww_treated_advanced_aerobic_effluent:emission_co2e_n2o_trww_treated_advanced_aerobic_treatment:emission_co2e_n2o_trww_treated_advanced_anaerobic_effluent:emission_co2e_n2o_trww_treated_advanced_anaerobic_treatment:emission_co2e_n2o_trww_treated_latrine_improved_effluent:emission_co2e_n2o_trww_treated_latrine_improved_treatment:emission_co2e_n2o_trww_treated_latrine_unimproved_effluent:emission_co2e_n2o_trww_treated_latrine_unimproved_treatment:emission_co2e_n2o_trww_treated_primary_effluent:emission_co2e_n2o_trww_treated_primary_treatment:emission_co2e_n2o_trww_treated_secondary_aerobic_effluent:emission_co2e_n2o_trww_treated_secondary_aerobic_treatment:emission_co2e_n2o_trww_treated_secondary_anaerobic_effluent:emission_co2e_n2o_trww_treated_secondary_anaerobic_treatment:emission_co2e_n2o_trww_treated_septic_effluent:emission_co2e_n2o_trww_treated_septic_treatment:emission_co2e_n2o_trww_untreated_no_sewerage_effluent:emission_co2e_n2o_trww_untreated_no_sewerage_treatment:emission_co2e_n2o_trww_untreated_with_sewerage_effluent:emission_co2e_n2o_trww_untreated_with_sewerage_treatment",NA,"",NA,"Waste - Wastewater Treatment:n2o","74:trww:n2o",0.365421246
