"Sector","display_subsector","Gas","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Edgar_Class","Code","Country","Units","CSC.Sector","CSC.Subsector","2018","2019","2020","2021","2022"
"IPPU","IPPU","hfcs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"IPPU:hfcs","UGA","uganda","MtCO2e","IPPU","IPPU",0,0,0,0,0
"IPPU","IPPU","n2o",0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.541484449129615,0.41461871138373,0.318893662363332,"IPPU:n2o","UGA","uganda","MtCO2e","IPPU","IPPU",0.327465914652395,0.336285761090186,0.340815988985849,0.34599117514809,0.349008371469472
"IPPU","IPPU","nf3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"IPPU:nf3","UGA","uganda","MtCO2e","IPPU","IPPU",0,0,0,0,0
"IPPU","IPPU","other_fcs",2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,2.807454739568e-05,3.20049840310752e-05,3.64856817954257e-05,"IPPU:other_fcs","UGA","uganda","MtCO2e","IPPU","IPPU",3.7466461617047e-05,3.84755695065826e-05,3.89938879085131e-05,3.95859981252803e-05,3.99312055655299e-05
"IPPU","IPPU","pfcs",2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.36654296284304e-06,2.69785897764107e-06,3.07555923451081e-06,"IPPU:pfcs","UGA","uganda","MtCO2e","IPPU","IPPU",3.15823403429453e-06,3.24329674754409e-06,3.28698837859027e-06,3.33690028801373e-06,3.36599953677204e-06
"IPPU","IPPU","sf6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"IPPU:sf6","UGA","uganda","MtCO2e","IPPU","IPPU",0,0,0,0,0
"Waste","Solid Waste","ch4",1.9765061,2.102969627,2.229433155,2.355896682,2.482360209,2.608823736,2.736467284,2.864110831,2.991754378,3.119397925,3.247041473,3.37567668,3.504311887,3.632947095,3.761582302,3.890217509,4.020741856,4.151266204,4.281790551,4.412314898,4.542839245,4.676670973,4.8105027,"Solid Waste:ch4","UGA","uganda","MtCO2e","Waste","Solid Waste",4.93981490544181,5.07286206225309,5.14120043361549,5.21926798385141,5.26478231280631
"Waste","Solid Waste","co2",0.002004,0.0021152,0.0022264,0.0023376,0.0024488,0.0025599999999999,0.002777,0.002994,0.003211,0.003428,0.003645,0.0037602,0.0038754,0.0039905999999999,0.0041058,0.004221,0.0047312,0.0052414,0.0057516,0.0062618,0.006772,0.0078315,0.008891,"Solid Waste:co2","UGA","uganda","MtCO2e","Waste","Solid Waste",0.009130000971475,0.00937590505780035,0.00950221128766342,0.00964649944888772,0.00973062119748128
"Waste","Solid Waste","n2o",0.179088,0.1854762,0.1918644,0.1982526,0.2046408,0.211029,0.2182908,0.2255526,0.2328144,0.2400762,0.247338,0.2551458,0.2629536,0.2707614,0.2785692,0.286377,0.2947854,0.3031938,0.3116022,0.3200106,0.328419,0.339339,0.350259,"Solid Waste:n2o","UGA","uganda","MtCO2e","Waste","Solid Waste",0.359674390987275,0.36936172867395,0.374337534968586,0.380021735515461,0.383335693398785
"Waste","Wastewater Treatment","ch4",0.3812628,0.4033397,0.4254166,0.4474935,0.4695704,0.4916473,0.54731876,0.60299022,0.65866168,0.71433314,0.7700046,0.84035706,0.91070952,0.98106198,1.05141444,1.1217669,1.21837342,1.31497994,1.41158646,1.50819298,1.6047995,1.7341585,1.8635175,"Wastewater Treatment:ch4","UGA","uganda","MtCO2e","Waste","Wastewater Treatment",1.91361113320894,1.96515163126189,1.99162490420181,2.02186711694327,2.03949869389015
"Waste","Wastewater Treatment","n2o",0.187824,0.194649,0.201474,0.208299,0.215124,0.221949,0.229866,0.237783,0.2457,0.253617,0.261534,0.2890524,0.3165708,0.3440892,0.3716076,0.399126,0.4084626,0.4177992,0.4271358,0.4364724,0.445809,0.459459,0.473109,"Wastewater Treatment:n2o","UGA","uganda","MtCO2e","Waste","Wastewater Treatment",0.485826749478525,0.498911828364736,0.505632851208543,0.513310730824859,0.517787027794306
