ssp_subsector,Subsector,Gas,Vars,est_from_sisepuede,Subsector_Category,ids,UGA
trns,Transportation,co2,emission_co2e_co2_trns_aviation:emission_co2e_co2_trns_road_light:emission_co2e_co2_trns_public:emission_co2e_co2_trns_road_heavy_freight:emission_co2e_co2_trns_road_heavy_regional:emission_co2e_co2_trns_powered_bikes:emission_co2e_co2_trns_rail_freight:emission_co2e_co2_trns_rail_passenger:emission_co2e_co2_trns_water_borne:emission_co2e_co2_trns_human_powered,0,Transportation:co2,36:trns:co2,3.074648
trns,Transportation,n2o,emission_co2e_n2o_trns_aviation:emission_co2e_n2o_trns_road_light:emission_co2e_n2o_trns_public:emission_co2e_n2o_trns_road_heavy_freight:emission_co2e_n2o_trns_road_heavy_regional:emission_co2e_n2o_trns_powered_bikes:emission_co2e_n2o_trns_rail_freight:emission_co2e_n2o_trns_rail_passenger:emission_co2e_n2o_trns_water_borne:emission_co2e_n2o_trns_human_powered,0,Transportation:n2o,37:trns:n2o,0.024297
trww,Wastewater Treatment,ch4,emission_co2e_ch4_trww_treated_advanced_aerobic_treatment:emission_co2e_ch4_trww_treated_advanced_anaerobic_treatment:emission_co2e_ch4_trww_treated_latrine_improved_treatment:emission_co2e_ch4_trww_treated_latrine_unimproved_treatment:emission_co2e_ch4_trww_treated_primary_treatment:emission_co2e_ch4_trww_treated_secondary_aerobic_treatment:emission_co2e_ch4_trww_treated_secondary_anaerobic_treatment:emission_co2e_ch4_trww_treated_septic_treatment:emission_co2e_ch4_trww_untreated_no_sewerage_treatment:emission_co2e_ch4_trww_untreated_with_sewerage_treatment,0,Wastewater Treatment:ch4,38:trww:ch4,5.2551324
trww,Wastewater Treatment,n2o,emission_co2e_n2o_trww_treated_advanced_aerobic_effluent:emission_co2e_n2o_trww_treated_advanced_aerobic_treatment:emission_co2e_n2o_trww_treated_advanced_anaerobic_effluent:emission_co2e_n2o_trww_treated_advanced_anaerobic_treatment:emission_co2e_n2o_trww_treated_latrine_improved_effluent:emission_co2e_n2o_trww_treated_latrine_improved_treatment:emission_co2e_n2o_trww_treated_latrine_unimproved_effluent:emission_co2e_n2o_trww_treated_latrine_unimproved_treatment:emission_co2e_n2o_trww_treated_primary_effluent:emission_co2e_n2o_trww_treated_primary_treatment:emission_co2e_n2o_trww_treated_secondary_aerobic_effluent:emission_co2e_n2o_trww_treated_secondary_aerobic_treatment:emission_co2e_n2o_trww_treated_secondary_anaerobic_effluent:emission_co2e_n2o_trww_treated_secondary_anaerobic_treatment:emission_co2e_n2o_trww_treated_septic_effluent:emission_co2e_n2o_trww_treated_septic_treatment:emission_co2e_n2o_trww_untreated_no_sewerage_effluent:emission_co2e_n2o_trww_untreated_no_sewerage_treatment:emission_co2e_n2o_trww_untreated_with_sewerage_effluent:emission_co2e_n2o_trww_untreated_with_sewerage_treatment,0,Wastewater Treatment:n2o,39:trww:n2o,0.424515
lndu,Wetlands,ch4,emission_co2e_ch4_lndu_wetlands,0,Wetlands:ch4,40:lndu:ch4,0
ccsq,Carbon Capture Industries,ch4,emission_co2e_ch4_ccsq_direct_air_capture,1,Carbon Capture Industries:ch4,41:ccsq:ch4,0
ccsq,Carbon Capture Industries,co2,emission_co2e_co2_ccsq_direct_air_capture,1,Carbon Capture Industries:co2,42:ccsq:co2,0
ccsq,Carbon Capture Industries,n2o,emission_co2e_n2o_ccsq_direct_air_capture,1,Carbon Capture Industries:n2o,43:ccsq:n2o,0
frst,Forest Land - Sequestration,co2,emission_co2e_co2_frst_sequestration_mangroves:emission_co2e_co2_frst_sequestration_primary:emission_co2e_co2_frst_sequestration_secondary,1,Forest Land - Sequestration:co2,44:frst:co2,-10.9708671
frst,Forest Land Methane,ch4,emission_co2e_ch4_frst_methane_mangroves:emission_co2e_ch4_frst_methane_primary:emission_co2e_ch4_frst_methane_secondary,1,Forest Land Methane:ch4,45:frst:ch4,0.076616376
soil,Other Not Estimated Conversion,co2,emission_co2e_co2_soil_soc_mineral_soils,1,Other Not Estimated Conversion:co2,46:soil:co2,2.951704317
lndu,Other Not Estimated Sequestration,co2,emission_co2e_co2_lndu_biomass_sequestration_settlements:emission_co2e_co2_lndu_conversion_settlements_to_settlements:emission_co2e_co2_lndu_biomass_sequestration_other:emission_co2e_co2_lndu_biomass_sequestration_shrublands,1,Other Not Estimated Sequestration:co2,47:lndu:co2,-0.618393804
soil,Other Not Estimated Soils,n2o,emission_co2e_n2o_soil_paddock_pasture_range,1,Other Not Estimated Soils:n2o,48:soil:n2o,1.53858539
lndu,Wetlands,co2,emission_co2e_co2_lndu_biomass_sequestration_wetlands:emission_co2e_co2_lndu_conversion_wetlands_to_wetlands:emission_co2e_co2_lndu_conversion_flooded_to_flooded,1,Wetlands:co2,49:lndu:co2,0
