aggregation_category,CSC.Sector,CSC.Subsector,Gas,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Subsector_Category,Code,Country,Units
Other  Combustion,Non-LULUCF,Other  Combustion,ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other  Combustion:ch4,UGA,uganda,MtCO2e
Other  Combustion,Non-LULUCF,Other  Combustion,co2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other  Combustion:co2,UGA,uganda,MtCO2e
Other  Combustion,Non-LULUCF,Other  Combustion,n2o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other  Combustion:n2o,UGA,uganda,MtCO2e
Other Land Use Conversion,LULUCF,Other Land Use Conversion,co2,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305728284,0.30573722,0.30573722,0.30573722,Other Land Use Conversion:co2,UGA,uganda,MtCO2e
Other Not Estimated Conversion,Non-LULUCF,Other Not Estimated Conversion,co2,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,1.036916012,1.492597712,2.012473546,2.54033494,Other Not Estimated Conversion:co2,UGA,uganda,MtCO2e
Other Not Estimated Sequestration,LULUCF,Other Not Estimated Sequestration,co2,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.493982889,-2.456621863,-2.249632224,-1.359995345,-0.618393804,Other Not Estimated Sequestration:co2,UGA,uganda,MtCO2e
Other Not Estimated Soils,Non-LULUCF,Other Not Estimated Soils,n2o,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,1.3623,Other Not Estimated Soils:n2o,UGA,uganda,MtCO2e
Solid Waste,Non-LULUCF,Solid Waste,ch4,3.2374044,3.651273,4.0280625,4.375836,4.6995318,5.0037534,5.2917372,5.5633437,5.8021119,6.0204015,6.2204445,6.4038312,6.5760579,6.7608954,6.9553584,7.1572149,7.3647351,7.2986958,7.2798912,7.2958779,7.3396809,7.4160153,7.5169296,7.6473063,7.7449284,Solid Waste:ch4,UGA,uganda,MtCO2e
Solid Waste,Non-LULUCF,Solid Waste,co2,0.004287,0.004287,0.004309,0.004312,0.004316,0.004323,0.004325,0.004871,0.005421,0.005953,0.00677,0.007461,0.007531,0.007553,0.007609,0.007663,0.007719,0.007773,0.003802,0.007871,0.007893,0.007899,0.007779,0.008322,0.007918,Solid Waste:co2,UGA,uganda,MtCO2e
Solid Waste,Non-LULUCF,Solid Waste,n2o,0.102648,0.102648,0.102102,0.101829,0.101556,0.101556,0.101283,0.098826,0.096642,0.094458,0.092274,0.09009,0.09009,0.09009,0.090363,0.090363,0.090636,0.090636,0.090636,0.090909,0.091182,0.091728,0.092001,0.092274,0.081354,Solid Waste:n2o,UGA,uganda,MtCO2e
Transportation,Non-LULUCF,Transportation,ch4,0.0052173,0.0052173,0.0055521,0.0060543,0.0066123,0.0062775,0.0065007,0.006696,0.0065565,0.0063891,0.0060264,0.0070587,0.0070029,0.0089838,0.0103788,0.0109647,0.012834,0.0163773,0.0166563,0.0182187,0.0191394,0.0219852,0.0232965,0.0195858,0.0211203,Transportation:ch4,UGA,uganda,MtCO2e
Transportation,Non-LULUCF,Transportation,co2,0.658967,0.658967,0.74006,0.860549,0.956039,0.911034,0.971103,0.988438,1.077482,1.149835,1.167649,1.398261,1.473023,1.605656,1.935673,2.089225,2.263584,2.545437,2.470025,2.738666,2.888604,3.257989,3.424735,2.950376,3.074648,Transportation:co2,UGA,uganda,MtCO2e
Transportation,Non-LULUCF,Transportation,n2o,0.00819,0.00819,0.009009,0.010374,0.012012,0.011739,0.012285,0.012285,0.01365,0.014469,0.014742,0.018018,0.01911,0.021021,0.025116,0.027027,0.029211,0.032487,0.031395,0.034944,0.037128,0.042042,0.044226,0.022386,0.024297,Transportation:n2o,UGA,uganda,MtCO2e
Wastewater Treatment,Non-LULUCF,Wastewater Treatment,ch4,3.1424607,3.2069934,3.3394905,3.4397631,3.5412912,4.1168682,3.6695754,3.9397032,4.0576365,4.1770764,4.359933,4.5190188,4.6940634,5.0660541,5.595345,5.5702908,5.6618865,5.9825133,6.1531776,6.6914523,6.7831317,7.0579188,7.3403505,7.6307895,5.2551324,Wastewater Treatment:ch4,UGA,uganda,MtCO2e
Wastewater Treatment,Non-LULUCF,Wastewater Treatment,n2o,0.204204,0.210756,0.217308,0.22386,0.230412,0.236964,0.244881,0.252525,0.260442,0.268086,0.27573,0.284466,0.293202,0.301938,0.310401,0.319137,0.329238,0.339339,0.349713,0.359814,0.369915,0.383565,0.410865,0.410865,0.424515,Wastewater Treatment:n2o,UGA,uganda,MtCO2e
Wetlands,LULUCF,Wetlands,ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wetlands:ch4,UGA,uganda,MtCO2e
Wetlands,LULUCF,Wetlands,co2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wetlands:co2,UGA,uganda,MtCO2e
