year,prodinit_ippu_cement_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_mining_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_textiles_tonne,prodinit_ippu_recycled_metals_tonne,prodinit_ippu_recycled_rubber_and_leather_tonne,prodinit_ippu_recycled_textiles_tonne,prodinit_ippu_recycled_plastic_tonne,prodinit_ippu_wood_tonne,prodinit_ippu_recycled_glass_tonne,prodinit_ippu_recycled_paper_tonne
2078,4659000.0,120870.07231406946,190602.51080250714,13322.630376447692,219004.72768619336,11663.82516789957,658958.8069379126,74228.97284274209,390039.6617401023,31225.207978712035,30523.23230327965,0.0,0.0,0.0,0.0,1659205.13209367,0.0,0.0
2079,4659000.0,120870.07231406946,190602.51080250714,13322.630376447692,219004.72768619336,11663.82516789957,658958.8069379126,74228.97284274209,390039.6617401023,31225.207978712035,30523.23230327965,0.0,0.0,0.0,0.0,1659205.13209367,0.0,0.0
2080,4659000.0,120870.07231406946,190602.51080250714,13322.630376447692,219004.72768619336,11663.82516789957,658958.8069379126,74228.97284274209,390039.6617401023,31225.207978712035,30523.23230327965,0.0,0.0,0.0,0.0,1659205.13209367,0.0,0.0
2081,4659000.0,120870.07231406946,190602.51080250714,13322.630376447692,219004.72768619336,11663.82516789957,658958.8069379126,74228.97284274209,390039.6617401023,31225.207978712035,30523.23230327965,0.0,0.0,0.0,0.0,1659205.13209367,0.0,0.0
2082,4659000.0,120870.07231406946,190602.51080250714,13322.630376447692,219004.72768619336,11663.82516789957,658958.8069379126,74228.97284274209,390039.6617401023,31225.207978712035,30523.23230327965,0.0,0.0,0.0,0.0,1659205.13209367,0.0,0.0
2083,4659000.0,120870.07231406946,190602.51080250714,13322.630376447692,219004.72768619336,11663.82516789957,658958.8069379126,74228.97284274209,390039.6617401023,31225.207978712035,30523.23230327965,0.0,0.0,0.0,0.0,1659205.13209367,0.0,0.0
2084,4659000.0,120870.07231406946,190602.51080250714,13322.630376447692,219004.72768619336,11663.82516789957,658958.8069379126,74228.97284274209,390039.6617401023,31225.207978712035,30523.23230327965,0.0,0.0,0.0,0.0,1659205.13209367,0.0,0.0
2085,4659000.0,120870.07231406946,190602.51080250714,13322.630376447692,219004.72768619336,11663.82516789957,658958.8069379126,74228.97284274209,390039.6617401023,31225.207978712035,30523.23230327965,0.0,0.0,0.0,0.0,1659205.13209367,0.0,0.0
2086,4659000.0,120870.07231406946,190602.51080250714,13322.630376447692,219004.72768619336,11663.82516789957,658958.8069379126,74228.97284274209,390039.6617401023,31225.207978712035,30523.23230327965,0.0,0.0,0.0,0.0,1659205.13209367,0.0,0.0
2087,4659000.0,120870.07231406946,190602.51080250714,13322.630376447692,219004.72768619336,11663.82516789957,658958.8069379126,74228.97284274209,390039.6617401023,31225.207978712035,30523.23230327965,0.0,0.0,0.0,0.0,1659205.13209367,0.0,0.0
