region,year,Safely managed service ,At least basic service ,Basic service ,Limited service ,Unimproved ,Open defecation
Burkina Faso,2022-2024,24.72,,32,33.32,8.37,29.87
Burundi,2022-2024,,45.69,45,12.91,39.96,1.97
Cabo Verde,2022-2024,,83.05,83,6.73,1.68,3.42
Cambodia,2000-2024,51.6,10.19,83,7.97,3.23,5.24
Cameroon,2022-2024,,43.12,47,17.05,35.58,4.44
Canada,2022-2024,81.3,,99,0,1.41,0
Cayman Islands,2022-2024,,83.27,83,10.27,6.47,0
Central African Republic,2022-2024,13.53,,14,16.31,44.8,24.72
Central and Southern Asia,2022-2024,58.42,,81,11.43,2.68,6.01
Chad,2022-2024,11.09,,13,5.46,19,62.22
Channel Islands,2017,90,,8.5,0,1.5,0
Chile,2022-2024,95.13,,100,0,0,0
China,2022-2024,68.87,,97,2.06,1.95,0
"China, Hong Kong Special Administrative Region",2022-2024,94.83,,95,0,3.5,0
"China, Macao Special Administrative Region",2022-2024,79.96,,100,0,0,0
Colombia,2022-2024,18.69,,97,2.24,0.63,2.09
Comoros,2019-2024,49.36,35.91,57,13.19,50.9,1.81
Congo,2021,,20.55,21,34.4,36.69,8.35
Cook Islands,2022-2024,,85.44,99,11.38,2.69,0.59
Costa Rica,2022-2024,26.29,,99,0.5,1.01,0.06
Croatia,2021,74.73,,96,2.86,0.97,0.23
Cuba,2022-2024,45.88,,95,5.6,2.08,0.17
Curaçao,2017,,98.95,99,0,0.78,0.27
Cyprus,2022-2024,76.97,,99,0,0.6,0
Czechia,2022-2024,91.38,,99,0.86,0.01,0
Côte d'Ivoire,2022-2024,27.1,,40,27.22,14.61,16.69
Democratic People's Republic of Korea,2022-2023,,84.77,85,0.63,14.6,0
Democratic Republic of the Congo,2022-2024,13.08,,16,17.57,54.41,11.66
Denmark,2022-2024,98.9,,100,0.4,0,0
Djibouti,2022-2023,39.66,,67,7.07,10.04,15.88
Dominica,2017,,80.37,80,3.17,10.89,5.57
Dominican Republic,2022-2024,42.97,,90,7.84,1.65,1.67
Eastern and South-Eastern Asia,2022-2024,64.1,,95,3.09,2.03,0.65
Ecuador,2022-2024,49.29,,91,7.08,0,1.71
Egypt,2022-2024,57.34,,97,1.62,0.85,0
El Salvador,2022-2024,35.97,87.55,88,12.02,0.43,1.2
Equatorial Guinea,2017,,66.31,66,9.88,20.95,2.85
Eritrea,2016,,11.94,12,9.76,11.29,67
Estonia,2022-2024,90.56,,99,0.7,0.24,0
Eswatini,2022-2024,60.84,64.42,64,21.79,13.56,0.36
Ethiopia,2022-2024,8.05,,10,8.49,64.54,16.23
Europe and Northern America,2022-2024,85.45,,98,0.57,1.83,0
Falkland Islands (Malvinas),2022-2024,,100,100,0,0,0
Faroe Islands,2015,,90.88,91,0,9.12,0
Fiji,2022-2024,48.5,,93,6.96,0,0
Finland,2022-2024,90.12,,99,0.55,0,0
France,2022-2024,89.99,,99,1.35,0,0
